============================================================================================================
Ksea
============================================================================================================
BMP8b	BMP8b_NE	NE	
============================================================================================================
Protein	Score	p-value	Protein	Score	p-value	Protein	Score	p-value	
============================================================================================================
CSNK2A1	-0.25183	0.02180	CSNK2A1	-0.47527	0.13112	PRKAB1	0.22819	0.41357	
CDK16	0.19478	0.32006	PRKG2	0.41024	0.28565	LYN	-0.36343	0.41357	
CDK17	0.22133	0.32006	CDK9	-0.23802	0.46652	RET	0.09439	0.41357	
CDK10	0.22133	0.32006	PRKCZ	-0.24597	0.46652	ATR	-0.35983	0.41357	
CDK18	0.22133	0.32006	PRKCQ	-0.29288	0.46652	PDGFRB	0.06997	0.41357	
CDK12	0.22133	0.32006	MAP2K1	-0.05424	0.46652	MAPK8	-0.06013	0.41357	
CDK19	0.22133	0.32006	PRKCE	-0.24851	0.46652	PRKG2	0.29089	0.41357	
CDK5	0.11503	0.32006	CDK5	-0.08156	0.46652	PAK2	0.10955	0.41357	
NLK	0.18927	0.32006	PRKDC	-0.25867	0.46652	CDK18	0.05767	0.41357	
PIM1	-0.18056	0.32006	MAPK10	-0.01663	0.46652	FER	0.11441	0.41357	
MAPK7	0.21916	0.32006	MAPK12	0.07539	0.46652	FLT1	-0.48023	0.41357	
CDK1	0.11761	0.32006	PLK1	-0.31398	0.46652	MAP2K1	0.08498	0.41357	
CDK3	0.17708	0.32006	RPS6KA3	-0.25601	0.46652	CDK17	0.05767	0.41357	
CDK11B	0.22133	0.32006	AKT3	0.00094	0.46652	CDK11B	0.05767	0.41357	
CSNK1A1	-0.19368	0.32006	CDK7	-0.25028	0.46652	CDK16	0.05979	0.41357	
CDK13	0.22133	0.32006	GSK3A	0.00064	0.46652	CDK5	-0.05054	0.41357	
MAPK13	0.20950	0.32006	MAPKAPK2	-0.25391	0.46652	CSNK2A1	-0.44454	0.41357	
CDK20	0.24099	0.32006	MAPK9	-0.01688	0.46652	FLT4	-0.48023	0.41357	
AURKA	-0.21654	0.32006	MAPK8	-0.02189	0.46652	CSNK1D	-0.42756	0.41357	
CAMKK1	0.34604	0.32006	ZAP70	-0.53629	0.46652	ZAP70	-0.66981	0.41357	
